country_label,year,growth_gdp,inflation,popul,log_popul,startbusin,unemp,urban,schooling,rule_of_law,voice_account,pol_stability,gov_effective,regulatory_qual,control_corrup,dummy_eu,covid_year,dummy_oecd
Germany,2020,-5.065138224434051,1.587246060555913,83240525,18.23724486653373,83.7,3.81,77.453,13,1.557931900024414,1.377576231956482,0.6710113883018494,1.360797762870789,1.582714557647705,1.858250856399536,1,1,1
Greece,2014,1.371147995658632,-1.946700021036236,10892413,16.20357704979472,89.2,26.49,77.702,9,0.3739753663539886,0.6187572479248047,-0.1404459625482559,0.3004702925682068,0.3293375074863434,-0.129975363612175,1,0,1
Greece,2015,0.2464122688304826,-0.2880229193634563,10820883,16.19698843618593,90.7,24.9,78.046,9,0.2769418060779572,0.6515436172485352,-0.2302523553371429,0.1770223081111908,0.409622997045517,-0.08734863251447678,1,0,1
Greece,2016,-0.07511534654686614,-0.5766768570713054,10775971,16.19282930590316,90.7,23.54,78.387,9,0.1353243887424469,0.6685553193092346,-0.1215991750359535,0.1577258408069611,0.1483868509531021,-0.1016083359718323,1,0,1
Greece,2017,1.481339542005529,0.3871947653807126,10754679,16.19085147365556,90.7,21.49,78.724,9,0.07495281845331192,0.658486008644104,-0.0735725536942482,0.2741480469703674,0.2400272339582443,-0.0790209025144577,1,0,1
Greece,2018,1.765229899996257,-0.1035725443546625,10732882,16.18882267127297,92.4,19.29,79.058,9,0.1392800062894821,0.7323086857795715,0.1659437716007233,0.2907973229885101,0.4137779474258423,-0.02520807646214962,1,0,1
Greece,2019,1.96402684660795,0.1907773542182412,10721582,16.18776927734573,92.4,17.31,79.388,9,0.183785155415535,0.8124002814292908,0.1817382127046585,0.3490243554115295,0.5299369096755981,0.04311783239245415,1,0,1
Greece,2020,-8.196078340878202,-1.459578996002094,10715549,16.18720642216149,96.0,16.3,79.715,9,0.3202698826789856,0.9659200310707092,0.1251007616519928,0.4444801211357117,0.5500144362449646,0.05986705794930458,1,1,1
"Hong Kong SAR, China",2014,2.043132351849607,2.850310898532456,7229500,15.79368043545032,96.5,3.3,100.0,9,1.860669374465942,0.5356985330581665,1.153228521347046,1.83289897441864,2.057507038116455,1.619889140129089,0,0,0
"Hong Kong SAR, China",2015,1.519978171358517,3.643546297204665,7291300,15.80219241456119,96.4,3.31,100.0,9,1.825470566749573,0.5148095488548279,1.046294569969177,1.908816814422607,2.189884185791016,1.651854395866394,0,0,0
"Hong Kong SAR, China",2016,1.538646570569568,1.637647521724489,7336600,15.80838607801451,98.1,3.39,100.0,9,1.722994565963745,0.3772677779197693,0.7508071064949036,1.841635704040527,2.153886795043945,1.56169319152832,0,0,0
"Hong Kong SAR, China",2017,3.017315978285723,2.883468189451847,7391700,15.8158683070645,98.2,3.13,100.0,9,1.722528338432312,0.428260326385498,0.8294838666915894,1.905390977859497,2.166827917098999,1.618102788925171,0,0,0
"Hong Kong SAR, China",2018,2.027927691509916,3.657551021849997,7451000,15.82385880953587,98.1,2.82,100.0,9,1.771499514579773,0.4400778710842133,0.7835555076599121,1.902525067329407,2.226013898849487,1.675504922866821,0,0,0
"Hong Kong SAR, China",2019,-2.418395612244055,2.047145111016519,7507400,15.83139975873759,98.1,2.93,100.0,9,1.604442238807678,0.1269743293523788,-0.2221779823303223,1.74074649810791,1.983565092086792,1.690354585647583,0,0,0
"Hong Kong SAR, China",2020,-5.76011270583443,0.6350949573078708,7481800,15.82798396271232,98.2,5.83,100.0,9,1.590242981910706,0.0384611152112484,0.09220633655786514,1.662403464317322,1.787972092628479,1.649826884269714,0,1,0
Hungary,2014,4.510099905405738,3.706680993011034,9866468,16.10465249528833,89.3,7.73,70.227,10,0.5097830295562744,0.5532662868499756,0.6699048280715942,0.5940656661987305,0.7519902586936951,0.1623462438583374,1,0,1
Hungary,2015,4.066661994909282,2.778743063457782,9843028,16.10227394526848,86.6,6.81,70.5,10,0.4073127508163452,0.559974193572998,0.7462977170944214,0.5489410758018494,0.7662329077720642,0.1517660021781921,1,0,1
Hungary,2016,2.441866878711835,1.352062226758207,9814023,16.09932283922003,87.1,5.11,70.779,10,0.438893586397171,0.4020372927188873,0.6546786427497864,0.5014192461967468,0.6034219264984131,0.1059389710426331,1,0,1
Hungary,2017,4.594487545984776,3.988227420751372,9787966,16.09666422989747,87.3,4.16,71.062,10,0.5663262605667114,0.5369373559951782,0.8065630197525024,0.5278870463371277,0.6519234776496887,0.1253052651882172,1,0,1
Hungary,2018,5.533427038221575,4.832742499934326,9775564,16.09539636038095,87.6,3.71,71.351,10,0.5846309065818787,0.4784306585788727,0.747175931930542,0.4900576174259186,0.5747100114822388,0.08652420341968536,1,0,1
Hungary,2019,4.688663954487282,4.765181481420285,9771141,16.09494380327984,87.9,3.42,71.644,10,0.5266540050506592,0.3439764380455017,0.7721580862998962,0.496053159236908,0.603549599647522,0.0600961335003376,1,0,1
Hungary,2020,-4.748350155607497,5.701202331644751,9749763,16.09275353498629,88.2,4.25,71.942,10,0.5128838419914246,0.389862447977066,0.8638380169868469,0.5809024572372437,0.4816817343235016,0.09742633253335953,1,1,1
Indonesia,2014,3.639072302811215,5.443174549356115,255128076,19.35727623585649,59.1,4.05,52.635,9,-0.3422760665416718,0.1539048999547958,-0.4168240427970886,-0.03757252916693687,-0.107659749686718,-0.5617322325706482,0,0,0
Indonesia,2015,3.555062495443877,3.980242660139609,258383257,19.3699545328818,64.1,4.51,53.313,9,-0.4221741855144501,0.184857964515686,-0.6150606870651245,-0.2408801168203354,-0.2175577878952026,-0.4583642482757568,0,0,0
Indonesia,2016,3.758837332148516,2.438924086882068,261556386,19.38216044346448,65.7,4.3,53.989,9,-0.3448856770992279,0.1679468601942062,-0.3729524314403534,0.00741112232208252,-0.1223438531160355,-0.3992098569869995,0,0,0
Indonesia,2017,3.841197264426583,4.292678121995252,264650969,19.39392241770121,74.6,3.88,54.659,9,-0.3496760129928589,0.1316009759902954,-0.4979034066200256,0.03837566077709198,-0.105156198143959,-0.2548541724681854,0,0,0
